imdbId,Actors,Directors,Rating,Genre,Release
217630,"['Jason Biggs', 'Mena Suvari', 'Zak Orth']",['Amy Heckerling'],5.3/10,"['Comedy', 'Romance']","21 July 2000 (USA)

"
215129,"['Breckin Meyer', 'Seann William Scott', 'Amy Smart']",['Todd Phillips'],6.5/10,"['Adventure', 'Comedy']","19 May 2000 (USA)

"
196216,"['Woody Allen', 'Tracey Ullman', 'Hugh Grant']",['Woody Allen'],6.7/10,"['Comedy', 'Crime']","19 May 2000 (USA)

"
80881,"['Tony Danza', 'Michelle Pfeiffer', 'Julius Averitt']",['Floyd Mutrux'],6.3/10,['Comedy'],"30 May 1980 (USA)

"
119746,"['Julianne Moore', 'Roy Scheider', 'Noah Wyle']",['Bart Freundlich'],6.1/10,"['Comedy', 'Drama', 'Romance']","17 September 1997 (USA)

"
82933,"['Isabelle Adjani', 'Sam Neill', 'Margit Carstensen']",['Andrzej Zulawski'],7.4/10,"['Drama', 'Horror']","28 October 1983 (USA)

"
66495,"['Mel Brooks', 'Ron Moody', 'Frank Langella']",['Mel Brooks'],6.6/10,['Comedy'],"28 October 1970 (USA)

"
120755,"['Tom Cruise', 'Dougray Scott', 'Thandie Newton']",['John Woo'],6.1/10,"['Action', 'Adventure', 'Thriller']","24 May 2000 (USA)

"
184894,"['Jackie Chan', 'Owen Wilson', 'Lucy Liu']",['Tom Dey'],6.6/10,"['Action', 'Adventure', 'Comedy']","26 May 2000 (USA)

"
154443,"['John Standing', 'Matthew Delamere', 'Vivian Wu']",['Peter Greenaway'],5.8/10,"['Comedy', 'Drama']","10 December 1999 (UK)

"
55830,"['Candace Hilligoss', 'Frances Feist', 'Sidney Berger']",['Herk Harvey'],7.2/10,"['Horror', 'Mystery']","2 November 1962 (Finland)

"
34742,"['John Wayne', 'John Carroll', 'Anna Lee']",['David Miller'],6.9/10,"['Action', 'Drama', 'Romance']","8 October 1942 (USA)

"
15864,"['Charles Chaplin', 'Mack Swain', 'Tom Murray']",['Charles Chaplin'],8.2/10,"['Adventure', 'Comedy', 'Drama']","1925 (Germany)

"
39631,"['Charles Chaplin', 'Mady Correll', 'Allison Roddan']",['Charles Chaplin'],8/10,"['Comedy', 'Crime', 'Drama']","8 December 1947 (Sweden)

"
64757,"['George Lazenby', 'Diana Rigg', 'Telly Savalas']",['Peter R. Hunt'],6.8/10,"['Action', 'Adventure', 'Thriller']","19 December 1969 (USA)

"
58576,"['Burt Lancaster', 'Kirk Douglas', 'Fredric March']",['John Frankenheimer'],7.9/10,"['Drama', 'Romance', 'Thriller']","March 1964 (Austria)

"
76752,"['Roger Moore', 'Barbara Bach', 'Curd Jürgens']",['Lewis Gilbert'],7.1/10,"['Action', 'Adventure', 'Thriller']","3 August 1977 (USA)

"
